UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
Q15485,FCN2,10.8794243142282,10.604877684977,0.274546629251223,0.0030656450462393,2.99777544201109
Q13228,SELENBP1,21.662253346931,21.3884397899993,0.273813556931714,0.411468574808869,0.823037718848391
P07737,PFN1,12.8759714564875,12.6043968111195,0.271574645367982,0.111184125546967,1.59980577216842
P01011,SERPINA3,21.194065666714,20.922656751718,0.271408914995956,3.02137619758105e-05,4.2178164775266
P07954,FH,16.9922752290458,16.7253924410674,0.266882787978385,0.0129164364938543,2.50111944523343
P35573,AGL,16.2358245538024,15.9826384248796,0.253186128922811,0.0124064101489733,2.51322798625482
P51884,LUM,17.0325390805255,16.7802282628757,0.252310817649779,0.000306725606067426,3.64058111559109
P78417,GSTO1,16.4363530156563,16.1922850481517,0.244067967504577,0.215987004181582,1.24147653848922
P13591,NCAM1,10.8058727733022,10.5683559577849,0.237516815517242,0.0166145468836721,2.41420975701697
P13798,APEH,11.1015853804857,10.8700348858692,0.231550494616526,0.0923399545615258,1.69153802322441
P02748,C9,17.2013622109767,16.995850011909,0.205512199067758,0.00164541360468004,3.16723222196602
O43866,CD5L,13.4284608885586,13.2259439818276,0.202516906730994,0.113428800458282,1.58631389510548
Q92820,GGH,12.0042769307346,11.8134436452862,0.190833285448393,0.031063797950804,2.16838707825527
P01034,CST3,11.0757067882712,10.8853500232991,0.190356764972078,0.000312876254733366,3.64139600167781
P20810,CAST,15.409262362299,15.2198721973728,0.189390164926147,0.120351722147204,1.56019586033599
Q13201,MMRN1,16.9450258222653,16.7562854477028,0.188740374562485,0.19691013499223,1.2951460246267
P00746,CFD,13.194173184084,13.0169782293895,0.177194954694503,0.00920793784984233,2.62214643713321
P07359,GP1BA,12.7171257525462,12.5439760588458,0.173149693700344,0.0074343457526668,2.68922893093843
Q13576,IQGAP2,19.1495691718517,18.9796491634082,0.169920008443494,0.0361123328831233,2.10248036358429
P61764,STXBP1,13.4964300716917,13.3288424586721,0.167587613019643,0.251233354610643,1.15049374608531
P61106,RAB14,17.0450361527449,16.8891604932194,0.155875659525567,0.477441798254137,0.711674614662099
P12277,CKB,18.8528178369339,18.7035055420024,0.14931229493153,0.281714130884843,1.07800119798694
P49736,MCM2,18.4100751530628,18.2650456756182,0.145029477444663,0.240504482296585,1.17765869141099
P63104,YWHAZ,12.5725340269686,12.4291687152836,0.143365311685066,0.401021079888243,0.841765715045832
P33151,CDH5,11.4255352217196,11.2837171135192,0.141818108200452,0.0298633409411591,2.18112681339543
P11021,HSPA5,16.8474385277066,16.7058850951012,0.141553432605438,0.681135001237809,0.411429745593019
P53396,ACLY,18.925665856814,18.7889716033505,0.136694253463567,0.159342957876316,1.41248562956631
P51610,HCFC1,17.6796198208677,17.5444378812744,0.135181939593302,0.364509982324369,0.908788897845465
P04040,CAT,11.4022080893081,11.2744253445845,0.127782744723627,0.281883863238067,1.07916308161166
P12955,PEPD,11.5384430099941,11.4141062997695,0.124336710224561,0.0901401685042998,1.70125097237445
O75116,ROCK2,19.4429058939279,19.3239117673139,0.11899412661408,0.407990673040365,0.82950332100973
Q86WR0,CCDC25,16.3708899207148,16.2542345881492,0.116655332565653,0.261520109190212,1.1264818113697
P04066,FUCA1,9.61895552249954,9.52131001079249,0.0976455117070572,0.247096167809489,1.16107410204642
P55058,PLTP,11.560009609536,11.4660819090258,0.0939277005101626,0.0539553654850117,1.9328404108558
P07357,C8A,14.5845299873353,14.496322817813,0.0882071695222617,0.589246836604427,0.540325052960515
P04217,A1BG,20.6152453813297,20.5287466945176,0.0864986868121029,0.157009358792861,1.41762569927817
P12429,ANXA3,13.6915646196327,13.6085212709872,0.0830433486454289,0.574997438604896,0.561649791573789
Q7KZF4,SND1,18.9068217591136,18.826403650949,0.0804181081645581,0.709893216190138,0.372407486069534
P22105,TNXB,11.7788150485499,11.6988127906083,0.0800022579416684,0.197594875803776,1.29076761611055
P30048,PRDX3,16.8886733959259,16.8095437472438,0.0791296486820485,0.52756547444309,0.632278400328265
P60660,MYL6,16.2753689472209,16.1979038107071,0.077465136513748,0.637804432383875,0.471663378803351
Q13103,SPP2,10.5899296252705,10.5153848679165,0.0745447573539977,0.339181465013881,0.957547277463955
P50991,CCT4,15.9136859444047,15.8473977389522,0.0662882054524943,0.441093610595845,0.771169030992291
P13473,LAMP2,10.6963951211314,10.6301568269014,0.0662382942300344,0.365143879847313,0.90721428395143
P11279,LAMP1,10.2425102059692,10.1781819844638,0.0643282215053773,0.33039335706082,0.975351979343937
Q9HC38,GLOD4,13.1086768991347,13.0460962133707,0.0625806857640061,0.599124340140695,0.526754798136333
O00429,DNM1L,12.9451591875833,12.8827023312127,0.0624568563706713,0.672206391246854,0.423779933191779
P15144,ANPEP,17.7664785593461,17.7070281408763,0.0594504184698366,0.409505775054104,0.826245763114857
Q9Y5Y7,LYVE1,10.6690148893948,10.6116786585485,0.0573362308462819,0.431814007445737,0.787050009755056
P13796,LCP1,11.9029559073258,11.8458016344634,0.057154272862423,0.621238349132964,0.494673019003285
P05362,ICAM1,11.6253173592137,11.5741845309999,0.051132828213829,0.53119526114495,0.626971773769023
P48740,MASP1,12.0559199300229,12.0087943259286,0.0471256040943118,0.370654097317437,0.896284351974484
P42765,ACAA2,14.0526892388116,14.007766318069,0.0449229207425486,0.797023401397989,0.257418066734677
Q9Y2S2,CRYL1,15.6199067617031,15.5767784968999,0.0431282648031814,0.850728154118196,0.188368108547746
P35232,PHB,14.8732136254999,14.8310085633986,0.0422050621012477,0.862057795922015,0.173952030789842
P08185,SERPINA6,16.9494169621879,16.9096896601643,0.039727302023568,0.490711191544045,0.689753711727291
P07195,LDHB,13.8572084320038,13.8195125044433,0.0376959275605682,0.826116197143897,0.21982949294522
Q3LXA3,TKFC,15.1543352408267,15.1204397686497,0.0338954721770115,0.656467493109321,0.445214733474542
P08519,LPA,13.5912964289926,13.5610041046673,0.0302923243253108,0.850620803462877,0.188441493722959
Q9UIF8,BAZ2B,11.5027797969988,11.4738559684241,0.0289238285747437,0.650713808755032,0.453198657511631
P04275,VWF,13.4737055535768,13.4449654200067,0.0287401335700181,0.880085294937655,0.151012276614408
P26038,MSN,16.2051302256578,16.1811516635396,0.0239785621182236,0.904807765848873,0.119751354442083
Q9Y2Z0,SUGT1,14.8206812943127,14.7977727803703,0.0229085139424097,0.857817738379819,0.179309552809596
P14151,SELL,12.6442123510994,12.6250466231546,0.0191657279448467,0.746526428609809,0.323427326356963
Q7Z3U7,MON2,19.9395885781919,19.9233146541274,0.0162739240645209,0.847905306814989,0.191934882006753
P11766,ADH5,17.4612486547849,17.4453088116912,0.0159398430937543,0.874258635779908,0.158448167460415
P02746,C1QB,11.1576179889278,11.1431264700086,0.0144915189192201,0.875902563189649,0.156267279158266
Q13451,FKBP5,13.6108754207632,13.5964340819101,0.0144413388531177,0.882543869720048,0.147872999931577
Q9NQ79,CRTAC1,11.0297509111953,11.0153316364417,0.0144192747536245,0.861025358771203,0.175318925778784
Q9NTJ3,SMC4,18.0974642034506,18.0832110251997,0.0142531782509216,0.951787196637995,0.0605239097189771
P05156,CFI,16.8180191053739,16.8047318954857,0.0132872098881442,0.80113102729304,0.252035826306805
